program	description	title	author	real_name	source_url	kind	section	tags	collection	series
adventure/oregon.txt	adventure/oregon.md	oregon	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk141.html	game	adventure	classic	lordbss	
adventure/oregonskaya-tropa-dolgushin-notebook.txt	adventure/oregonskaya-tropa-dolgushin-notebook.md	Орегонская тропа	автор неизвестен; редакция Александра Долгушина		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (23).jpg; Рисунок (24).jpg; Рисунок (97).jpg: указание редакции	game	adventure	manuscript	dolgushin-notebook	
adventure/oregonskaya-tropa.txt	adventure/oregonskaya-tropa.md	oregonskaya tropa	автор неизвестен	Евгений Кузниченко	https://lordbss.narod.ru/pmk140.html	game	adventure	classic	lordbss	
adventure/ostrov.txt	adventure/ostrov.md	ostrov	Вадим Мазур	Евгений Кузниченко	https://lordbss.narod.ru/pmk79.html; https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", страницы 9-10	game	adventure	classic	lordbss	
adventure/peshchera-dolgushin-notebook.txt	adventure/peshchera-dolgushin-notebook.md	Пещера	автор неизвестен		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (6).jpg; Рисунок (7).jpg; Рисунок (8).jpg	game	adventure	manuscript	dolgushin-notebook	
adventure/peshchera-syurprizov.txt	adventure/peshchera-syurprizov.md	peshchera syurprizov	Игорь Вершинин	Евгений Кузниченко	https://lordbss.narod.ru/pmk196.html	game	adventure	classic	lordbss	
adventure/pobeg-iz-sistemy-x.txt	adventure/pobeg-iz-sistemy-x.md	pobeg iz sistemy X	А. Лотохов		https://lordbss.narod.ru/pmk115.html	game	adventure	classic	lordbss	
adventure/polet-shmelya.txt	adventure/polet-shmelya.md	Полёт шмеля	В. Рябенький		Техника - молодёжи, 1988-03	game	adventure	aviation;classic;magazine	tekhnika-molodezhi	
adventure/priton.txt	adventure/priton.md	priton	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk147.html	game	adventure	classic	lordbss	
adventure/puteshestvie.txt	adventure/puteshestvie.md	puteshestvie	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk199.html	game	adventure	classic	lordbss	
adventure/raby-obmena-razumov.txt	adventure/raby-obmena-razumov.md	raby obmena razumov	Анатолий Кондратьев	Евгений Кузниченко	https://lordbss.narod.ru/pmk35.html	game	adventure	classic	lordbss	
adventure/raja-yoga.txt	adventure/raja-yoga.md	Раджа-йога			https://sergeanvarov.github.io/russian/mk61/games/%D1%80%D0%B0%D0%B4%D0%B6%D0%B0-%D0%B9%D0%BE%D0%B3%D0%B0/%D1%80%D0%B0%D0%B4%D0%B6%D0%B0-%D0%B9%D0%BE%D0%B3%D0%B0.html	game	adventure		anvarov	
adventure/rising-from-hell.txt	adventure/rising-from-hell.md	Rising From Hell	Дмитрий Родионов	Евгений Кузниченко	https://lordbss.narod.ru/pmk36.html	game	adventure	classic	lordbss	
adventure/rytsar.txt	adventure/rytsar.md	rytsar	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk195.html	game	adventure	classic;fantasy	lordbss	
